Penetration level,2017 €/MWh,Region
2.0%,16.20,In Portugal
4.0%,16.20,In Portugal
6.0%,16.20,In Portugal
8.0%,16.20,In Portugal
10.0%,16.20,In Portugal
12.0%,16.20,In Portugal
14.0%,16.20,In Portugal
16.0%,16.20,In Portugal
18.0%,16.20,In Portugal
2.0%,8.41,In Portugal
4.0%,8.41,In Portugal
6.0%,8.41,In Portugal
8.0%,8.41,In Portugal
10.0%,8.41,In Portugal
12.0%,8.41,In Portugal
14.0%,8.41,In Portugal
16.0%,8.41,In Portugal
18.0%,8.41,In Portugal
2.0%,10.66,In The Netherlands
4.0%,10.66,In The Netherlands
6.0%,11.99,In The Netherlands
8.0%,12.51,In The Netherlands
10.0%,13.02,In The Netherlands
12.0%,13.12,In The Netherlands
14.0%,13.43,In The Netherlands
16.0%,13.53,In The Netherlands
18.0%,13.63,In The Netherlands
2.0%,10.05,In The Netherlands
4.0%,10.05,In The Netherlands
6.0%,10.05,In The Netherlands
8.0%,10.46,In The Netherlands
10.0%,10.46,In The Netherlands
12.0%,10.46,In The Netherlands
14.0%,10.46,In The Netherlands
16.0%,10.76,In The Netherlands
18.0%,10.97,In The Netherlands
,,In UK
,,In UK
,,In UK
,,In UK
,,In UK
,,In UK
,,In UK
,,In UK
,,In UK
,,In UK
,,In UK
,,In UK
,,In UK
,,In UK
,,In UK
,,In UK
,,In UK
,,In UK
27.1%,2.60,In UK
32.6%,2.73,In UK
41.7%,3.20,In UK
10.0%,6.52,Finland
30.0%,7.86,Finland
10.0%,7.84,Finland
30.0%,8.64,Finland
10.0%,17.33,Finland
30.0%,17.85,Finland
10.0%,6.59,France
30.0%,7.02,France
10.0%,6.59,France
30.0%,7.02,France
10.0%,15.71,France
30.0%,16.04,France
10.0%,6.45,Germany
30.0%,7.16,Germany
10.0%,6.45,Germany
30.0%,7.16,Germany
10.0%,15.57,Germany
30.0%,15.96,Germany
10.0%,1.91,Korea
30.0%,3.27,Korea
10.0%,1.91,Korea
30.0%,3.27,Korea
10.0%,7.46,Korea
30.0%,7.61,Korea
10.0%,3.28,UK
30.0%,5.60,UK
10.0%,3.28,UK
30.0%,5.60,UK
10.0%,21.12,UK
30.0%,21.72,UK
10.0%,4.54,US
30.0%,4.97,US
10.0%,1.70,US
30.0%,5.55,US
10.0%,0.00,US
30.0%,8.46,US
5.0%,6.52,EU
10.0%,6.92,EU
15.0%,7.19,EU
20.0%,7.84,EU
25.0%,7.51,EU
30.0%,7.50,EU
35.0%,7.31,EU
40.0%,7.65,EU
5.0%,8.54,EU
10.0%,8.11,EU
15.0%,8.75,EU
20.0%,8.51,EU
25.0%,7.95,EU
100.0%,4.75,Sweden
100.0%,2.50,Sweden
